Tag Name,Address,Data Type,Scan Rate,Description
磁力搅拌参数设置_C[0].搅拌速度,K0000,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].搅拌速度
磁力搅拌参数设置_C[0].加热温度,K0001,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热温度
磁力搅拌参数设置_C[0].时间设置,K0002,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].时间设置
磁力搅拌参数设置_C[0].返回设定速度,K0003,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定速度
磁力搅拌参数设置_C[0].返回实际速度,K0004,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际速度
磁力搅拌参数设置_C[0].返回设定温度,K0005,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定温度
磁力搅拌参数设置_C[0].返回实际温度,K0006,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际温度
磁力搅拌参数设置_C[0].返回设定时间,K0007,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定时间
磁力搅拌参数设置_C[0].返回实际时间,K0008,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际时间
磁力搅拌参数设置_C[0].工作模式设置,K0009,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].工作模式设置
磁力搅拌参数设置_C[0].加热模式设置,K0010,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热模式设置
磁力搅拌参数设置_C[0].温度单位,K0011,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].温度单位
磁力搅拌参数设置_C[0].加热模式,K0012,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热模式
磁力搅拌参数设置_C[0].仪器模式,K0013,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].仪器模式
磁力搅拌参数设置_C[0].安全温度,K0014,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].安全温度
磁力搅拌参数设置_C[1].搅拌速度,K0015,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].搅拌速度
磁力搅拌参数设置_C[1].加热温度,K0016,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].加热温度
磁力搅拌参数设置_C[1].时间设置,K0017,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].时间设置
磁力搅拌参数设置_C[1].返回设定速度,K0018,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回设定速度
磁力搅拌参数设置_C[1].返回实际速度,K0019,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回实际速度
磁力搅拌参数设置_C[1].返回设定温度,K0020,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回设定温度
磁力搅拌参数设置_C[1].返回实际温度,K0021,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回实际温度
磁力搅拌参数设置_C[1].返回设定时间,K0022,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回设定时间
磁力搅拌参数设置_C[1].返回实际时间,K0023,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回实际时间
磁力搅拌参数设置_C[1].工作模式设置,K0024,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].工作模式设置
磁力搅拌参数设置_C[1].加热模式设置,K0025,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].加热模式设置
磁力搅拌参数设置_C[1].温度单位,K0026,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].温度单位
磁力搅拌参数设置_C[1].加热模式,K0027,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].加热模式
磁力搅拌参数设置_C[1].仪器模式,K0028,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].仪器模式
磁力搅拌参数设置_C[1].安全温度,K0029,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].安全温度
磁力搅拌参数设置_C[2].搅拌速度,K0030,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].搅拌速度
磁力搅拌参数设置_C[2].加热温度,K0031,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].加热温度
磁力搅拌参数设置_C[2].时间设置,K0032,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].时间设置
磁力搅拌参数设置_C[2].返回设定速度,K0033,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回设定速度
磁力搅拌参数设置_C[2].返回实际速度,K0034,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回实际速度
磁力搅拌参数设置_C[2].返回设定温度,K0035,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回设定温度
磁力搅拌参数设置_C[2].返回实际温度,K0036,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回实际温度
磁力搅拌参数设置_C[2].返回设定时间,K0037,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回设定时间
磁力搅拌参数设置_C[2].返回实际时间,K0038,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回实际时间
磁力搅拌参数设置_C[2].工作模式设置,K0039,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].工作模式设置
磁力搅拌参数设置_C[2].加热模式设置,K0040,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].加热模式设置
磁力搅拌参数设置_C[2].温度单位,K0041,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].温度单位
磁力搅拌参数设置_C[2].加热模式,K0042,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].加热模式
磁力搅拌参数设置_C[2].仪器模式,K0043,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].仪器模式
磁力搅拌参数设置_C[2].安全温度,K0044,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].安全温度
注射泵参数[0].当前位置显示,K0045,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].当前位置显示
注射泵参数[0].绝对位置设置,K0046,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].绝对位置设置
注射泵参数[0].抽液位置设置,K0047,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].抽液位置设置
注射泵参数[0].排液位置设置,K0048,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].排液位置设置
注射泵参数[0].启动速度,K0049,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].启动速度
注射泵参数[0].最高速度,K0050,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].最高速度
注射泵参数[0].加速度代码,K0051,short,100,ns=2;s=AI4M.设备 1.注射泵参数[0].加速度代码
注射泵参数[1].当前位置显示,K0052,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].当前位置显示
注射泵参数[1].绝对位置设置,K0053,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].绝对位置设置
注射泵参数[1].抽液位置设置,K0054,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].抽液位置设置
注射泵参数[1].排液位置设置,K0055,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].排液位置设置
注射泵参数[1].启动速度,K0056,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].启动速度
注射泵参数[1].最高速度,K0057,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].最高速度
注射泵参数[1].加速度代码,K0058,short,100,ns=2;s=AI4M.设备 1.注射泵参数[1].加速度代码
注射泵参数[2].当前位置显示,K0059,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].当前位置显示
注射泵参数[2].绝对位置设置,K0060,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].绝对位置设置
注射泵参数[2].抽液位置设置,K0061,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].抽液位置设置
注射泵参数[2].排液位置设置,K0062,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].排液位置设置
注射泵参数[2].启动速度,K0063,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].启动速度
注射泵参数[2].最高速度,K0064,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].最高速度
注射泵参数[2].加速度代码,K0065,short,100,ns=2;s=AI4M.设备 1.注射泵参数[2].加速度代码
机器人取烧杯编号,K0166,long,100,ns=2;s=AI4M.设备 1.机器人取烧杯编号
机器人放烧杯编号,K0168,long,100,ns=2;s=AI4M.设备 1.机器人放烧杯编号
机器人放检测编号,K0170,long,100,ns=2;s=AI4M.设备 1.机器人放检测编号
机器人取检测编号,K0172,long,100,ns=2;s=AI4M.设备 1.机器人取检测编号
机器人初始化,K0174,long,100,ns=2;s=AI4M.设备 1.机器人初始化
机器人料架取烧杯1完成,K0071,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯1完成
机器人料架取烧杯2完成,K0072,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯2完成
机器人料架取烧杯3完成,K0073,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯3完成
机器人料架取烧杯4完成,K0074,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯4完成
机器人料架取烧杯5完成,K0075,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯5完成
机器人料架放烧杯1完成,K0076,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯1完成
机器人料架放烧杯2完成,K0077,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯2完成
机器人料架放烧杯3完成,K0078,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯3完成
机器人料架放烧杯4完成,K0079,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯4完成
机器人料架放烧杯5完成,K0080,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯5完成
机器人放检测1完成,K0081,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人放检测1完成
机器人放检测2完成,K0082,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人放检测2完成
机器人放检测3完成,K0083,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人放检测3完成
机器人取检测1完成,K0084,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人取检测1完成
机器人取检测2完成,K0085,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人取检测2完成
机器人取检测3完成,K0086,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人取检测3完成
机器人初始化完成,K0087,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人初始化完成
机器人料架取烧杯1开始,K0088,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯1开始
机器人料架取烧杯2开始,K0089,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯2开始
机器人料架取烧杯3开始,K0090,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯3开始
机器人料架取烧杯4开始,K0091,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯4开始
机器人料架取烧杯5开始,K0092,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架取烧杯5开始
机器人料架放烧杯1开始,K0093,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯1开始
机器人料架放烧杯2开始,K0094,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯2开始
机器人料架放烧杯3开始,K0095,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯3开始
机器人料架放烧杯4开始,K0096,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯4开始
机器人料架放烧杯5开始,K0097,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人料架放烧杯5开始
机器人放检测1开始,K0098,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人放检测1开始
机器人放检测2开始,K0099,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人放检测2开始
机器人放检测3开始,K0100,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人放检测3开始
机器人取检测1开始,K0101,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人取检测1开始
机器人取检测2开始,K0102,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人取检测2开始
机器人取检测3开始,K0103,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人取检测3开始
机器人机器人安全点,K0104,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人机器人安全点
机器人机器人安全区域1,K0105,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人机器人安全区域1
机器人机器人安全区域2,K0106,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人机器人安全区域2
机器人机器人安全区域3,K0107,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人机器人安全区域3
自动作业开始触发,K0108,BOOLEAN,100,ns=2;s=AI4M.设备 1.自动作业开始触发
自动作业完成,K0109,BOOLEAN,100,ns=2;s=AI4M.设备 1.自动作业完成
检测1请求参数,K0110,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测1请求参数
检测2请求参数,K0111,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测2请求参数
检测3请求参数,K0112,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测3请求参数
检测1参数已执行,K0113,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测1参数已执行
检测2参数已执行,K0114,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测2参数已执行
检测3参数已执行,K0115,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测3参数已执行
检测1空闲,K0116,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测1空闲
检测2空闲,K0117,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测2空闲
检测3空闲,K0118,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测3空闲
机器人空闲,K0119,BOOLEAN,100,ns=2;s=AI4M.设备 1.机器人空闲
检测1工艺完成,K0120,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测1工艺完成
检测2工艺完成,K0121,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测2工艺完成
检测3工艺完成,K0122,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测3工艺完成
模式切换,K0123,BOOLEAN,100,ns=2;s=AI4M.设备 1.模式切换
初始化PC,K0124,BOOLEAN,100,ns=2;s=AI4M.设备 1.初始化PC
初始化完成PC,K0125,BOOLEAN,100,ns=2;s=AI4M.设备 1.初始化完成PC
手自动切换,K0126,BOOLEAN,100,ns=2;s=AI4M.设备 1.手自动切换
自动模式PC,K0127,BOOLEAN,100,ns=2;s=AI4M.设备 1.自动模式PC
自动作业参数已下发,K0128,BOOLEAN,100,ns=2;s=AI4M.设备 1.自动作业参数已下发
自动作业参数已执行,K0129,BOOLEAN,100,ns=2;s=AI4M.设备 1.自动作业参数已执行
自动作业等待停止时间,K0130,short,100,ns=2;s=AI4M.设备 1.自动作业等待停止时间
检测1开始,K0131,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测1开始
检测2开始,K0132,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测2开始
检测3开始,K0133,BOOLEAN,100,ns=2;s=AI4M.设备 1.检测3开始
