Name,DataType,Comment,DeviceType,Address,,
COIL_SYS_START_CMD,BOOL,设备启动命令,coil,8010,,
COIL_SYS_STOP_CMD,BOOL,设备停止命令,coil,8020,,
COIL_SYS_RESET_CMD,BOOL,设备复位命令,coil,8030,,
COIL_SYS_HAND_CMD,BOOL,设备手动模式命令,coil,8040,,
COIL_SYS_AUTO_CMD,BOOL,设备自动模式命令,coil,8050,,
COIL_SYS_INIT_CMD,BOOL,设备初始化模式命令,coil,8060,,
COIL_SYS_STOP_STATUS,BOOL,设备暂停中,coil,8220,,
,,,,,,
,BOOL,UNILAB发送电解液瓶数完毕,coil,8720,,
,BOOL,设备请求接受电解液瓶数,coil,8520,,
REG_MSG_ELECTROLYTE_NUM,WORD,电解液使用瓶数,hold_register,496,,
,WORD,负极片盘矩阵点位（初始位0）,hold_register,440,,
,WORD,隔膜盘矩阵点位（初始位0）,hold_register,450,,
,WORD,电解液瓶盘_缓存上料矩阵点位（初始位0）,hold_register,460,,
,WORD,电解液瓶盘_缓存回收矩阵点位（初始位0）,hold_register,430,,
,WORD,g_电解液瓶盘_手套箱无杆缸矩阵点位（初始位0）,hold_register,470,,
,WORD,移液枪头矩阵点位（初始位0）,hold_register,480,,
,WORD,设置负极片盘数,hold_register,443,,
,WORD,设置隔膜盘数,hold_register,453,,
,,,,,,
COIL_UNILAB_SEND_MSG_SUCC_CMD,BOOL,UNILAB发送配方完毕,coil,8700,,
COIL_REQUEST_REC_MSG_STATUS,BOOL,设备请求接受配方,coil,8500,,
REG_MSG_ELECTROLYTE_USE_NUM,INT16,单瓶电解液使用次数,hold_register,11000,,
REG_MSG_ELECTROLYTE_VOLUME,INT16,电解液吸取量,hold_register,11004,,
REG_MSG_ASSEMBLY_PRESSURE,INT16,电池组装压制力,hold_register,11008,,
REG_DATA_ELECTROLYTE_CODE,STRING,电解液二维码序列号,hold_register,10020,,
,BOOL,视觉对位（false:使用，true:忽略）,coil,8300,,
,BOOL,复检（false:使用，true:忽略）,coil,8310,,
,BOOL,手套箱_左仓（false:使用，true:忽略）,coil,8320,,
,BOOL,手套箱_右仓（false:使用，true:忽略）,coil,8420,,
,BOOL,机械手搬送料盘（false:使用，true:忽略）,coil,8330,,
,BOOL,铝箔物料（false:使用，true:忽略）,coil,8340,,
,BOOL,真空检知（false:使用，true:忽略）,coil,8350,,
,BOOL,压制模式（false:压力检测模式，True:距离模式）,coil,8360,,
,BOOL,电解液添加模式（false:单次滴液，true:二次滴液）,coil,8370,,
,BOOL,正极片称重（false:使用，true:忽略）,coil,8380,,
,BOOL,正负极片组装方式（false:正装，true:倒装）,coil,8390,,
,BOOL,压制清洁（false:使用，true:忽略）,coil,8400,,
,BOOL,物料盘摆盘方式（false:水平摆盘，true:堆叠摆盘）,coil,8410,,
COIL_SYS_UNILAB_INTERACT ,BOOL,忽略Unilab交互（false:使用，true:忽略）,coil,8450,,
,BOOL,忽略电池清洁（false:使用，true:忽略）,colil,8460,,
,,,,,,
COIL_UNILAB_SEND_MSG_SUCC_CMD,BOOL,UNILAB发送配方完毕,coil,8510,,
COIL_UNILAB_REC_MSG_SUCC_CMD,BOOL,UNILAB接受测试数据完毕,coil,8710,,
REG_DATA_POLE_WEIGHT,FLOAT32,当前电池正极片称重数据,hold_register,10010,,
REG_DATA_ASSEMBLY_PER_TIME,FLOAT32,当前单颗电池组装时间,hold_register,10012,,
REG_DATA_ASSEMBLY_PRESSURE,INT16,当前电池组装压制力,hold_register,10014,,
REG_DATA_ELECTROLYTE_VOLUME,INT16,当前电解液加注量,hold_register,10016,,
REG_DATA_ASSEMBLY_TYPE,INT16,组装参数：极片堆叠方式(7/8),hold_register,10018,,
REG_DATA_ELECTROLYTE_CODE,STRING,电解液二维码序列号,hold_register,10020,,
REG_DATA_COIN_CELL_CODE,STRING,电池二维码序列号,hold_register,10030,,
REG_DATA_STACK_VISON_CODE,STRING,物料堆叠复检图片编码,hold_register,10040,,
REG_DATA_ELECTROLYTE_USE_NUM,INT16,当前电极液组装电池数量（R）,hold_register,10000,,
REG_DATA_OPEN_CIRCUIT_VOLTAGE,FLOAT32,当前电池电压数据,hold_register,10002,,
,INT,机械手吸取物料寄存器（1-正极壳、2-铝垫、3-正极片、4-隔膜、5-负极片、6-平垫、7-弹垫、8-负极壳）,hold_register,10060,,
,,,,,,
,INT,当前负极片剩余盘数量（R）,hold_register,10062,PLC地址,1223-新增
,INT,当前隔膜神域盘数量（R）,hold_register,10064,,
,INT,电解液状态码（R）,hold_register,10066,,
,REAL,开路电压OK下限值（R）,hold_register,10068,,
,REAL,开路电压OK上限值（R）,hold_register,10070,,
,INT,当前进行组装电池数量（R）,hold_register,10072,,
,INT,当前完成组装电池数量（R）,hold_register,10074,,
,REAL,10mm正极片剩余物料数量（R）,hold_register,520,HMI地址,
,REAL,12mm正极片剩余物料数量（R）,hold_register,522,,
,REAL,16mm正极片剩余物料数量（R）,hold_register,524,,
,REAL,铝箔剩余物料数量（R）,hold_register,526,,
,REAL,正极壳剩余物料数量（R）,hold_register,528,,
,REAL,平垫剩余物料数量（R）,hold_register,530,,
,REAL,负极壳剩余物料数量（R）,hold_register,532,,
,REAL,弹垫剩余物料数量（R）,hold_register,534,,
,REAL,成品电池剩余可容纳数量（R）,hold_register,536,,
,REAL,成品电池NG槽剩余可容纳数量（R）,hold_register,538,,
,,,,,,
,REAL,设置10mm正极片厚度（W）,hold_register,540,,
,REAL,设置12mm正极片厚度（W）,hold_register,542,,
,REAL,设置16mm正极片厚度（W）,hold_register,544,,
,REAL,设置铝箔厚度（W）,hold_register,546,,
,REAL,设置正极壳厚度（W）,hold_register,548,,
,REAL,设置平垫厚度（W）,hold_register,550,,
,REAL,设置负极壳厚度（W）,hold_register,552,,
,REAL,设置弹垫厚度（W）,hold_register,554,,
,REAL,设置成品电池厚度（W）,hold_register,556,,
,,,,,,
,,,,,,
REG_DATA_GLOVE_BOX_PRESSURE,FLOAT32,手套箱压力,hold_register,10050,,
REG_DATA_GLOVE_BOX_WATER_CONTENT,FLOAT32,手套箱水含量,hold_register,10052,,
REG_DATA_GLOVE_BOX_O2_CONTENT,FLOAT32,手套箱氧含量,hold_register,10054,,
,,,,,,
,BOOL,异常100-系统异常,coil,1000,,
,BOOL,异常101-急停,coil,1010,,
,BOOL,异常111-手套箱急停,coil,1110,,
,BOOL,异常112-手套箱内光栅遮挡,coil,1120,,
,BOOL,异常160-移液枪头缺料,coil,1600,,
,BOOL,异常161-正极壳缺料,coil,1610,,
,BOOL,异常162-铝箔垫缺料,coil,1620,,
,BOOL,异常163-正极片缺料,coil,1630,,
,BOOL,异常164-隔膜缺料,coil,1640,,
,BOOL,异常165-负极片缺料,coil,1650,,
,BOOL,异常166-平垫缺料,coil,1660,,
,BOOL,异常167-弹垫缺料,coil,1670,,
,BOOL,异常168-负极壳缺料,coil,1680,,
,BOOL,异常169-成品电池满料,coil,1690,,
,BOOL,异常201-伺服轴01异常,coil,2010,,
,BOOL,异常202-伺服轴02异常,coil,2020,,
,BOOL,异常203-伺服轴03异常,coil,2030,,
,BOOL,异常204-伺服轴04异常,coil,2040,,
,BOOL,异常205-伺服轴05异常,coil,2050,,
,BOOL,异常206-伺服轴06异常,coil,2060,,
,BOOL,异常207-伺服轴07异常,coil,2070,,
,BOOL,异常208-伺服轴08异常,coil,2080,,
,BOOL,异常209-伺服轴09异常,coil,2090,,
,BOOL,异常210-伺服轴10异常,coil,2100,,
,BOOL,异常211-伺服轴11异常,coil,2110,,
,BOOL,异常212-伺服轴12异常,coil,2120,,
,BOOL,异常213-伺服轴13异常,coil,2130,,
,BOOL,异常214-伺服轴14异常,coil,2140,,
,BOOL,异常250-其他元件异常,coil,2500,,
,BOOL,异常251-移液枪通讯异常,coil,2510,,
,BOOL,异常252-移液枪报警,coil,2520,,
,BOOL,异常256-电爪异常,coil,2560,,
,BOOL,异常262-RB报警：未知点位错误,coil,2620,,
,BOOL,异常263-RB报警：X、Y、Z参数超限制,coil,2630,,
,BOOL,异常264-RB报警：视觉参数误差过大,coil,2640,,
,BOOL,异常265-RB报警：1#吸嘴取料失败,coil,2650,,
,BOOL,异常266-RB报警：2#吸嘴取料失败,coil,2660,,
,BOOL,异常267-RB报警：3#吸嘴取料失败,coil,2670,,
,BOOL,异常268-RB报警：4#吸嘴取料失败,coil,2680,,
,BOOL,异常269-RB报警：取物料盘失败,coil,2690,,
,BOOL,异常280-RB碰撞异常,coil,2800,,
,BOOL,异常290-视觉系统通讯异常,coil,2900,,
,BOOL,异常291-视觉对位NG异常,coil,2910,,
,BOOL,异常292-扫码枪通讯异常,coil,2920,,
,BOOL,异常310-开电移载吸嘴吸真空异常,coil,3100,,
,BOOL,异常311-开电移载吸嘴破真空异常,coil,3110,,
,BOOL,异常312-称重移载吸嘴吸真空异常,coil,3120,,
,BOOL,异常313-称重移载吸嘴破真空异常,coil,3130,,
,BOOL,异常340-开路电压吸嘴移载气缸异常,coil,3400,,
,BOOL,异常342-开路电压吸嘴升降气缸异常,coil,3420,,
,BOOL,异常344-开路电压旋压气缸异常,coil,3440,,
,BOOL,异常350-称重吸嘴移载气缸异常,coil,3500,,
,BOOL,异常352-称重吸嘴升降气缸异常,coil,3520,,
,BOOL,异常354-清洗无尘布移载气缸异常,coil,3540,,
,BOOL,异常356-清洗无尘布压紧气缸异常,coil,3560,,
,BOOL,异常360-电解液瓶定位气缸异常,coil,3600,,
,BOOL,异常362-移液枪头盒定位气缸异常,coil,3620,,
COIL ALARM_364_SERVO_DRIVE_ERROR,BOOL,异常364-试剂瓶夹爪升降气缸异常,coil,3640,,
COIL ALARM_367_SERVO_DRIVER_ERROR,BOOL,异常366-试剂瓶夹爪气缸异常,coil,3660,,
COIL ALARM_370_SERVO_MODULE_ERROR,BOOL,异常370-压制模块吹气气缸异常,coil,3700,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
COIL + 功能模块/类型 + 具体描述（大写+下划线分隔）--针对bool值,,,,,,
REG +  功能模块/类型 + 具体描述（大写+下划线分隔）--针对寄存器,,,,,,
